model,accuracy,precision,recall,f1,roc_auc,cv_recall_mean,cv_recall_std
Arbol de Decision,0.7597402597402597,0.639344262295082,0.7222222222222222,0.6782608695652174,0.7622222222222222,0.5554817275747508,0.09065324505351403
Random Forest,0.7467532467532467,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.8167592592592593,0.6028792912513843,0.012102835962183159
SVM,0.7402597402597403,0.6521739130434783,0.5555555555555556,0.6,0.7963888888888889,0.5841638981173864,0.05723335353011095
KNN,0.7272727272727273,0.625,0.5555555555555556,0.5882352941176471,0.7900000000000001,0.5699889258028794,0.03878436170958588
Regresion Logistica,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,0.5747508305647842,0.022727749337524358
